gene_name	n_syn	n_mis	n_non	n_spl	exp_syn	exp_mis	exp_non	exp_spl	exp_syn_cv
A1BG	0	0	1	0	0.298329884201309	0.550037975015332	0.0260367629237335	0.0157304956665049	0.259753207606434
A1CF	0	2	0	0	0.184337189192361	0.558216392700787	0.0438235191217067	0.0232508388127868	0.213341114464372
A2M	2	2	0	1	0.584684148892469	1.40829645277084	0.105049278195987	0.0751852482484405	0.532667281573662
A2ML1	0	4	0	0	0.538395991462151	1.37282297223624	0.110292436658256	0.0693804755476209	0.66383977410441
A3GALT2	0	2	0	0	0.212234498030931	0.415060510748611	0.0173395419804853	0.00859250128969122	0.182552528310096
A4GALT	0	0	0	0	0.211250740351466	0.390266144226368	0.0159849131211809	0	0.156984531658539
A4GNT	0	0	0	0	0.129324468361659	0.32277809987829	0.024511728288251	0.00281901669717522	0.154015038020669
AAAS	0	0	0	0	0.202278410233803	0.526974434751867	0.0409825965774398	0.0299188146969489	0.168745554783372
AACS	0	0	0	0	0.322355172033063	0.68739681863681	0.0397040122742866	0.0309292030534845	0.283940449866038
AADAC	0	0	0	0	0.136271752709687	0.388620786038095	0.0320680549921028	0.00748791461491278	0.147627911458314
AADACL2	0	0	0	0	0.104879879047734	0.3918513010734	0.0340858875252088	0.00861405873974447	0.122652288194678
AADACL3	1	0	0	0	0.142798370511333	0.332955555477176	0.0211370556256918	0.00577560024441826	0.18627299883089
AADACL4	0	0	0	0	0.179215233298643	0.39726297497496	0.0200172889959232	0.00603737025186707	0.202495070780539
AADAT	0	0	0	0	0.123841151008874	0.422573064114512	0.0266375992992587	0.0213469387761323	0.122338742272557
AAED1	0	0	0	0	0.110973622493124	0.246747589503339	0.0160638641667896	0.00878243939137219	0.0957286058713366
AAGAB	0	0	0	0	0.0963990158335064	0.319410388582402	0.0245724538139358	0.0257157122151206	0.0925501455865422
AAK1	0	1	0	0	0.330127867093897	0.921133544039627	0.0784012658227409	0.0477556694491928	0.334932002002858
AAMDC	0	0	0	0	0.0588385999569182	0.155591796600415	0.0126107645884621	0.00718097205201734	0.0500141299844643
AAMP	0	0	0	0	0.179776516126399	0.437342474942513	0.0244061284270711	0.0222427091954179	0.180807233945201
AANAT	0	0	0	0	0.131931792426413	0.272227855009877	0.0113722484855447	0.00454466116421876	0.113500824176981
AAR2	1	1	0	0	0.16383070865426	0.395265129374798	0.0227335693995463	0.0055349561136223	0.141290390223984
AARD	0	0	0	0	0.0829475694728795	0.189716592803441	0.010173643503654	0.00284531522342409	0.0916515498027442
AARS	0	0	0	0	0.402688553220778	1.00428460863412	0.0614664468907066	0.0369083313130238	0.332631290601265
AARS2	1	2	0	0	0.396342397277027	0.983725363467441	0.0674450136962278	0.0430000837909421	0.34452712661449
AARSD1	0	3	0	0	0.178305057543372	0.440992829708495	0.0245318994580331	0.0217100396785078	0.12808793859684
